GISJOIN,STATENAM,blkpop_cat
G010,Alabama,"750,000 AND OVER"
G020,Alaska,"10,000 - 25,000"
G040,Arizona,"300,000 - 500,000"
G050,Arkansas,"300,000 - 500,000"
G060,California,"750,000 AND OVER"
G080,Colorado,"200,000 - 300,000"
G090,Connecticut,"300,000 - 500,000"
G100,Delaware,"200,000 - 300,000"
G110,District of Columbia,"200,000 - 300,000"
G120,Florida,"750,000 AND OVER"
G130,Georgia,"750,000 AND OVER"
G150,Hawaii,"10,000 - 25,000"
G160,Idaho,"10,000 - 25,000"
G170,Illinois,"750,000 AND OVER"
G180,Indiana,"600,000 - 750,000"
G190,Iowa,"100,000 - 200,000"
G200,Kansas,"100,000 - 200,000"
G210,Kentucky,"300,000 - 500,000"
G220,Louisiana,"750,000 AND OVER"
G230,Maine,"25,000 - 50,000"
G240,Maryland,"750,000 AND OVER"
G250,Massachusetts,"300,000 - 500,000"
G260,Michigan,"750,000 AND OVER"
G270,Minnesota,"300,000 - 500,000"
G280,Mississippi,"750,000 AND OVER"
G290,Missouri,"600,000 - 750,000"
G300,Montana,"UNDER - 10,000"
G310,Nebraska,"50,000 - 100,000"
G320,Nevada,"300,000 - 500,000"
G330,New Hampshire,"10,000 - 25,000"
G340,New Jersey,"750,000 AND OVER"
G350,New Mexico,"25,000 - 50,000"
G360,New York,"750,000 AND OVER"
G370,North Carolina,"750,000 AND OVER"
G380,North Dakota,"25,000 - 50,000"
G390,Ohio,"750,000 AND OVER"
G400,Oklahoma,"200,000 - 300,000"
G410,Oregon,"50,000 - 100,000"
G420,Pennsylvania,"750,000 AND OVER"
G440,Rhode Island,"50,000 - 100,000"
G450,South Carolina,"750,000 AND OVER"
G460,South Dakota,"10,000 - 25,000"
G470,Tennessee,"750,000 AND OVER"
G480,Texas,"750,000 AND OVER"
G490,Utah,"25,000 - 50,000"
G500,Vermont,"UNDER - 10,000"
G510,Virginia,"750,000 AND OVER"
G530,Washington,"300,000 - 500,000"
G540,West Virginia,"50,000 - 100,000"
G550,Wisconsin,"300,000 - 500,000"
G560,Wyoming,"UNDER - 10,000"
G720,Puerto Rico,"200,000 - 300,000"
